 "location" , "year" , "movement" ,
 "United_States" , "1966" , "Modernism" ,
 "United_States" , "1966" , "Abstract_expressionism" ,
 "United_States" , "1966" , "Shaped_canvas" ,
 "United_States" , "1966" , "Minimalism" ,
 "United_States" , "1966" , "Abstract_Illusionism" ,
 "United_States" , "1966" , "Lyrical_abstraction" ,
 "United_States" , "1966" , "Color_Field" ,
 "United_States" , "1966" , "Hard-edge_painting" ,
 "United_States" , "1966" , "Geometric_abstraction" ,
 "United_States" , "1966" , "Modernism" ,
 "United_States" , "1966" , "Abstract_expressionism" ,
 "United_States" , "1966" , "Shaped_canvas" ,
 "United_States" , "1966" , "Minimalism" ,
 "United_States" , "1966" , "Abstract_Illusionism" ,
 "United_States" , "1966" , "Lyrical_abstraction" ,
 "United_States" , "1966" , "Color_Field" ,
 "United_States" , "1966" , "Hard-edge_painting" ,
 "United_States" , "1966" , "Geometric_abstraction" ,
 "United_States" , "1876" , "Realism_(arts)" ,
 "France" , "1781" , "Neoclassicism" ,
 "France" , "1781" , "Neoclassicism" ,
 "France" , "1854" , "Realism_(arts)" ,
 "France" , "1854" , "Realism_(arts)" ,
 "France" , "1854" , "Realism_(arts)" ,
 "France" , "1854" , "Realism_(arts)" ,
 "Australia" , "1954" , "Antipodeans" ,
 "Australia" , "1954" , "Antipodeans" ,
 "Australia" , "1954" , "Antipodeans" ,
 "Australia" , "1954" , "Antipodeans" ,
 "United_States" , "1964" , "Modernism" ,
 "United_States" , "1964" , "Abstract_expressionism" ,
 "United_States" , "1964" , "Shaped_canvas" ,
 "United_States" , "1964" , "Minimalism" ,
 "United_States" , "1964" , "Abstract_Illusionism" ,
 "United_States" , "1964" , "Lyrical_abstraction" ,
 "United_States" , "1964" , "Color_Field" ,
 "United_States" , "1964" , "Hard-edge_painting" ,
 "United_States" , "1964" , "Geometric_abstraction" ,
 "United_States" , "1964" , "Modernism" ,
 "United_States" , "1964" , "Abstract_expressionism" ,
 "United_States" , "1964" , "Shaped_canvas" ,
 "United_States" , "1964" , "Minimalism" ,
 "United_States" , "1964" , "Abstract_Illusionism" ,
 "United_States" , "1964" , "Lyrical_abstraction" ,
 "United_States" , "1964" , "Color_Field" ,
 "United_States" , "1964" , "Hard-edge_painting" ,
 "United_States" , "1964" , "Geometric_abstraction" ,
 "France" , "1952" , "Impressionism" ,
 "France" , "1952" , "Modernism" ,
 "France" , "1952" , "Fauvism" ,
